id,originalexample,originalscore,originallabel,Advexample,Advscore,AdvLabel,Result,status,domainchanged,tldchanged
0,http://ir.netflix.com/,0.0018892884254455566,0,www://mayday.netflix.kom/,0.36373579502105713,0,FAILED,False,True,True
1,http://www.netflix.com,4.1544437408447266e-05,0,http://sss.netflix.coms,0.016726136207580566,0,FAILED,True,True,True
2,http://www.netflix.com/,0.00015407800674438477,0,http://sss.netflix.com/,0.017604172229766846,0,FAILED,True,False,False
3,http://www.netflix.com/au/,0.024740934371948242,0,http://sss.netflix.com/ua/,0.06928437948226929,0,FAILED,True,False,False
4,http://www.netflix.com/login,0.9601097106933594,1,http://www.netflix.com/login,0.9601097106933594,1,SKIPPED,True,False,False
5,http://www.netflix.com/youraccount,0.6758978366851807,1,http://www.netflix.com/youraccount,0.6758978366851807,1,SKIPPED,True,False,False
6,http://www.netflix.net,4.297494888305664e-05,0,www://web.netflix.apprehended,0.03362983465194702,0,FAILED,False,True,True
7,http://www.netflix.net/,7.069110870361328e-05,0,http://web.netflix.fillets/,0.001594841480255127,0,FAILED,True,True,True
8,http://www.netflix.net/au/,0.12853074073791504,0,www://www.netflix.net/ua/,0.23224222660064697,0,FAILED,False,False,False
9,http://www.netflix.net/login,0.9751494526863098,1,http://www.netflix.net/login,0.9751494526863098,1,SKIPPED,True,False,False
10,http://www.netflix.net/redeem,0.008582890033721924,0,http://www.netflix.arrests/redeem,0.8494393825531006,1,SUCCESS,True,True,True
11,http://www.netflix.net/youraccount,0.6639341711997986,1,http://www.netflix.net/youraccount,0.6639341711997986,1,SKIPPED,True,False,False
12,https://www.help.netflix.com,0.9993583559989929,1,https://www.help.netflix.com,0.9993583559989929,1,SKIPPED,True,False,False
13,https://www.media.netflix.com/,0.9996768236160278,1,https://www.media.netflix.com/,0.9996768236160278,1,SKIPPED,True,False,False
14,https://www.netflix.com,0.9993385672569275,1,https://www.netflix.com,0.9993385672569275,1,SKIPPED,True,False,False
15,https://www.netflix.com/au/,0.9872298836708069,1,https://www.netflix.com/au/,0.9872298836708069,1,SKIPPED,True,False,False
16,chrome.google.com/extensions,0.09195899963378906,0,chrome.google.com/expansion,0.6988123655319214,1,SUCCESS,False,False,False
17,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.8921491503715515,1,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.8921491503715515,1,SKIPPED,False,False,False
18,code.google.com/android/,0.09802889823913574,0,code.google.com/google/,0.9989801049232483,1,SUCCESS,False,False,False
19,code.google.com/chromium/,0.06228142976760864,0,code.gmail.omg/chrome/,0.707887589931488,1,SUCCESS,False,True,True
20,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.9992769360542297,1,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.9992769360542297,1,SKIPPED,False,False,False
21,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.9960395097732544,1,code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0.9960395097732544,1,SKIPPED,False,False,False
22,code.google.com/p/amop/,0.16947513818740845,0,code.gmail.com/p/amop/,0.9857240319252014,1,SUCCESS,False,True,False
23,code.google.com/p/apsw/,0.00426030158996582,0,code.google.coms/p/apsw/,0.6452464461326599,1,SUCCESS,False,True,True
24,code.google.com/p/canopy-httpd/,0.16545617580413818,0,code.google.coms/p/canopy-httpd/,0.9982699155807495,1,SUCCESS,False,True,True
25,code.google.com/p/compcache/,0.14028680324554443,0,code.google.coms/p/compcache/,0.9986667633056641,1,SUCCESS,False,True,True
26,code.google.com/p/cryptsetup/,0.12500548362731934,0,code.google.coms/p/cryptsetup/,0.9978729486465454,1,SUCCESS,False,True,True
27,code.google.com/p/dcsharp/,0.0010341405868530273,0,code.gmail.coms/p/dcsharp/,0.9999101161956787,1,SUCCESS,False,True,True
28,code.google.com/p/epic-win32/,0.059474050998687744,0,code.google.kom/p/epic-win32/,0.9822911024093628,1,SUCCESS,False,True,True
29,code.google.com/p/evennia/,0.012002170085906982,0,code.google.kom/p/evennia/,0.643871545791626,1,SUCCESS,False,True,True
30,code.google.com/p/f90tohtml/,0.004351139068603516,0,code.gmail.coms/p/f90tohtml/,0.9993463158607483,1,SUCCESS,False,True,True
31,code.google.com/p/fanntool/,0.006438195705413818,0,code.gmail.kom/p/fanntool/,0.9999535083770752,1,SUCCESS,False,True,True
32,code.google.com/p/favloc/,0.00040978193283081055,0,code.facebook.kom/percent/favloc/,0.8472424745559692,1,SUCCESS,False,True,True
