id,originalexample,originalscore,originallabel,Advexample,Advscore,AdvLabel,Result,status,domainchanged,tldchanged
0,http://www.ir.netflix.com/,0.9512555599212646,1,http://www.ir.netflix.com/,0.9512555599212646,1,SKIPPED,True,False,False
3,http://www.netflix.com/au/,0.752263605594635,1,http://www.netflix.com/au/,0.752263605594635,1,SKIPPED,True,False,False
4,http://www.netflix.com/login,0.9995261430740356,1,http://www.netflix.com/login,0.9995261430740356,1,SKIPPED,True,False,False
5,http://www.netflix.com/youraccount,0.9902841448783875,1,http://www.netflix.com/youraccount,0.9902841448783875,1,SKIPPED,True,False,False
8,http://www.netflix.net/au/,0.8127473592758179,1,http://www.netflix.net/au/,0.8127473592758179,1,SKIPPED,True,False,False
9,http://www.netflix.net/login,0.9998643398284912,1,http://www.netflix.net/login,0.9998643398284912,1,SKIPPED,True,False,False
10,http://www.netflix.net/redeem,0.7937583327293396,1,http://www.netflix.net/redeem,0.7937583327293396,1,SKIPPED,True,False,False
11,http://www.netflix.net/youraccount,0.994350790977478,1,http://www.netflix.net/youraccount,0.994350790977478,1,SKIPPED,True,False,False
12,https://www.help.netflix.com,0.999916672706604,1,https://www.help.netflix.com,0.999916672706604,1,SKIPPED,True,False,False
13,https://www.media.netflix.com/,0.9998239278793335,1,https://www.media.netflix.com/,0.9998239278793335,1,SKIPPED,True,False,False
14,https://www.netflix.com,0.9965091943740845,1,https://www.netflix.com,0.9965091943740845,1,SKIPPED,True,False,False
15,https://www.netflix.com/au/,0.9998906254768372,1,https://www.netflix.com/au/,0.9998906254768372,1,SKIPPED,True,False,False
17,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.9952166080474854,1,chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0.9952166080474854,1,SKIPPED,False,False,False
18,code.google.com/android/,0.9226853847503662,1,code.google.com/android/,0.9226853847503662,1,SKIPPED,False,False,False
19,code.google.com/chromium/,0.7599239945411682,1,code.google.com/chromium/,0.7599239945411682,1,SKIPPED,False,False,False
20,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.7944992780685425,1,code.google.com/edu/submissions/waterloo-concurrent/index.html,0.7944992780685425,1,SKIPPED,False,False,False
37,code.google.com/p/git-osx-installer/,0.8227246999740601,1,code.google.com/p/git-osx-installer/,0.8227246999740601,1,SKIPPED,False,False,False
76,code.google.com/p/sqlite-manager/,0.5076385736465454,1,code.google.com/p/sqlite-manager/,0.5076385736465454,1,SKIPPED,False,False,False
89,code.google.com/speed/page-speed/,0.7878967523574829,1,code.google.com/speed/page-speed/,0.7878967523574829,1,SKIPPED,False,False,False
90,code.google.com/webtoolkit/,0.8326634764671326,1,code.google.com/webtoolkit/,0.8326634764671326,1,SKIPPED,False,False,False
91,developers.google.com/appengine/docs/whatisgoogleappengine,0.9949857592582703,1,developers.google.com/appengine/docs/whatisgoogleappengine,0.9949857592582703,1,SKIPPED,False,False,False
92,docs.google.com/View?docid=dd33gg45_3f8j96p,0.9997532963752747,1,docs.google.com/View?docid=dd33gg45_3f8j96p,0.9997532963752747,1,SKIPPED,False,False,False
