id,originalexample,originalscore,originallabel,Advexample,Advscore,AdvLabel,Result,status,domainchanged,tldchanged,domainortld,,Valid
0,http://www.ir.netflix.com/,0.95125556,1,http://www.ir.netflix.com/,0.95125556,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,29
1,http://www.netflix.com,0.010994315,0,hPttp://www.netflix.com,0.876211405,1,SUCCESS,FALSE,FALSE,FALSE,FALSE,,
2,http://www.netflix.com/,0.031322479,0,hRttp://www.netflix.com/,0.95045203,1,SUCCESS,FALSE,FALSE,FALSE,FALSE,,
3,http://www.netflix.com/au/,0.752263606,1,http://www.netflix.com/au/,0.752263606,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
4,http://www.netflix.com/login,0.999526143,1,http://www.netflix.com/login,0.999526143,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
5,http://www.netflix.com/youraccount,0.990284145,1,http://www.netflix.com/youraccount,0.990284145,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
6,http://www.netflix.net,0.050427914,0,htftp://www.netflix.net,0.28745091,0,FAILED,FALSE,FALSE,FALSE,FALSE,,
7,http://www.netflix.net/,0.092471123,0,htptp://www.netflix.net/,0.398574173,0,FAILED,FALSE,FALSE,FALSE,FALSE,,
8,http://www.netflix.net/au/,0.812747359,1,http://www.netflix.net/au/,0.812747359,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
9,http://www.netflix.net/login,0.99986434,1,http://www.netflix.net/login,0.99986434,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
10,http://www.netflix.net/redeem,0.793758333,1,http://www.netflix.net/redeem,0.793758333,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
11,http://www.netflix.net/youraccount,0.994350791,1,http://www.netflix.net/youraccount,0.994350791,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
12,https://www.help.netflix.com,0.999916673,1,https://www.help.netflix.com,0.999916673,1,SKIPPED,TRUE,FALSE,FALSE,FALSE,,
