seedurl,craftedurl,adversarytype,adversarymethod,domain,price
https://store.steampowered.com/,https://store.steampoweredv.com,Char_Adversaries,add,steampoweredv.com,11.99
https://store.steampowered.com/,https://store.steampowereda.com,Char_Adversaries,add,steampowereda.com,11.99
https://store.steampowered.com/,https://store.steampoweredj.com,Char_Adversaries,add,steampoweredj.com,11.99
https://store.steampowered.com/,https://store.steampoweredb.com,Char_Adversaries,add,steampoweredb.com,11.99
https://store.steampowered.com/,https://store.staampowered.com,Char_Adversaries,swap,staampowered.com,11.99
https://store.steampowered.com/,https://store.steampoweredc.com,Char_Adversaries,add,steampoweredc.com,11.99
https://store.steampowered.com/,https://store.steampoweredo.com,Char_Adversaries,add,steampoweredo.com,11.99
https://store.steampowered.com/,https://store.steampoweredr.com,Char_Adversaries,add,steampoweredr.com,11.99
https://store.steampowered.com/,https://store.steampoweredu.com,Char_Adversaries,add,steampoweredu.com,11.99
https://store.steampowered.com/,https://store.steampowerod.com,Char_Adversaries,swap,steampowerod.com,11.99
https://store.steampowered.com/,https://store.stiampowered.com,Char_Adversaries,swap,stiampowered.com,11.99
https://store.steampowered.com/,https://store.steampowered-game-inspired.com,Word_Adversaries,wconcatdn,steampowered-game-inspired.com,11.99
https://store.steampowered.com/,https://store.s5teampowered.com,Char_Adversaries,insert,s5teampowered.com,11.99
https://store.steampowered.com/,https://store.steaympowered.com,Char_Adversaries,insert,steaympowered.com,11.99
https://store.steampowered.com/,https://store.steampowerezd.com,Char_Adversaries,insert,steampowerezd.com,11.99
https://store.steampowered.com/,https://store.stdeampowered.com,Char_Adversaries,insert,stdeampowered.com,11.99
https://store.steampowered.com/,https://store.steampoiwered.com,Char_Adversaries,insert,steampoiwered.com,11.99
https://store.steampowered.com/,https://store.steawmpowered.com,Char_Adversaries,insert,steawmpowered.com,11.99
https://store.steampowered.com/,https://store.steampowired.com,Char_Adversaries,swap,steampowired.com,11.99
https://store.steampowered.com/,https://store.steam-based-steampowered.com,Word_Adversaries,wconcatdn,steam-based-steampowered.com,11.99
https://store.steampowered.com/,https://store.game-inspiredsteampowered.com,Word_Adversaries,wconcatdn,game-inspiredsteampowered.com,11.99
https://store.steampowered.com/,https://store.steampoawered.com,Char_Adversaries,insert,steampoawered.com,11.99
https://store.steampowered.com/,https://store.stuampowered.com,Char_Adversaries,swap,stuampowered.com,11.99
https://store.steampowered.com/,https://store.tall-mastedsteampowered.com,Word_Adversaries,wconcatdn,tall-mastedsteampowered.com,11.99
https://store.steampowered.com/,https://store.steamworkssteampowered.com,Word_Adversaries,wconcatdn,steamworkssteampowered.com,11.99
https://store.steampowered.com/,https://store.syteampowered.com,Char_Adversaries,insert,syteampowered.com,11.99
https://store.steampowered.com/,https://store.steampower5ed.com,Char_Adversaries,insert,steampower5ed.com,11.99
https://store.steampowered.com/,https://store.steampoweredtestosterone-infused.com,Word_Adversaries,wconcatdn,steampoweredtestosterone-infused.com,11.99
https://store.steampowered.com/,https://store.steampoweredreskined.com,Word_Adversaries,wconcatdn,steampoweredreskined.com,11.99
https://store.steampowered.com/,https://store.steampowerid.com,Char_Adversaries,swap,steampowerid.com,11.99
https://store.steampowered.com/,https://store.steampowe4red.com,Char_Adversaries,insert,steampowe4red.com,11.99
https://store.steampowered.com/,https://store.steazmpowered.com,Char_Adversaries,insert,steazmpowered.com,11.99
https://store.steampowered.com/,https://store.steampow3ered.com,Char_Adversaries,insert,steampow3ered.com,11.99
https://store.steampowered.com/,https://store.steampow2ered.com,Char_Adversaries,insert,steampow2ered.com,11.99
https://store.steampowered.com/,https://store.steampoweredsail-powered.com,Word_Adversaries,wconcatdn,steampoweredsail-powered.com,11.99
https://store.steampowered.com/,https://store.szteampowered.com,Char_Adversaries,insert,szteampowered.com,11.99
https://store.steampowered.com/,https://store.steampowetred.com,Char_Adversaries,insert,steampowetred.com,11.99
https://store.steampowered.com/,https://store.steampoweredp.com,Char_Adversaries,add,steampoweredp.com,11.99
https://store.steampowered.com/,https://store.steampiowered.com,Char_Adversaries,insert,steampiowered.com,11.99
https://store.steampowered.com/,https://store.sterampowered.com,Char_Adversaries,insert,sterampowered.com,11.99
https://store.steampowered.com/,https://store.steajmpowered.com,Char_Adversaries,insert,steajmpowered.com,11.99
https://store.steampowered.com/,https://store.steampowaered.com,Char_Adversaries,insert,steampowaered.com,11.99
https://store.steampowered.com/,https://store.steaepowered.com,Char_Adversaries,bitsq,steaepowered.com,11.99
https://store.steampowered.com/,https://store.muscle-powered-steampowered.com,Word_Adversaries,wconcatdn,muscle-powered-steampowered.com,11.99
https://store.steampowered.com/,https://store.st4eampowered.com,Char_Adversaries,insert,st4eampowered.com,11.99
https://store.steampowered.com/,https://store.ste1ampowered.com,Char_Adversaries,insert,ste1ampowered.com,11.99
https://store.steampowered.com/,https://store.steampowefred.com,Char_Adversaries,insert,steampowefred.com,11.99
https://store.steampowered.com/,https://store.steampoweredsteamworks.com,Word_Adversaries,wconcatdn,steampoweredsteamworks.com,11.99
https://store.steampowered.com/,https://store.steampoweredw.com,Char_Adversaries,add,steampoweredw.com,11.99
https://store.steampowered.com/,https://store.hovercraftssteampowered.com,Word_Adversaries,wconcatdn,hovercraftssteampowered.com,11.99
https://store.steampowered.com/,https://store.smartphone-poweredsteampowered.com,Word_Adversaries,wconcatdn,smartphone-poweredsteampowered.com,11.99
https://store.steampowered.com/,https://store.steampoweredgame-inspired.com,Word_Adversaries,wconcatdn,steampoweredgame-inspired.com,11.99
https://store.steampowered.com/,https://store.steampoweredsteampunk-themed.com,Word_Adversaries,wconcatdn,steampoweredsteampunk-themed.com,11.99
https://store.steampowered.com/,https://store.steampoqwered.com,Char_Adversaries,insert,steampoqwered.com,11.99
https://store.steampowered.com/,https://store.steampowerud.com,Char_Adversaries,swap,steampowerud.com,11.99
https://store.steampowered.com/,https://store.computer-linkedsteampowered.com,Word_Adversaries,wconcatdn,computer-linkedsteampowered.com,11.99
https://store.steampowered.com/,https://store.styeampowered.com,Char_Adversaries,insert,styeampowered.com,11.99
https://store.steampowered.com/,https://store.steampowere3d.com,Char_Adversaries,insert,steampowere3d.com,11.99
