url,label
http://ir.netflix.com/,0
http://www.netflix.com,0
http://www.netflix.com/,0
http://www.netflix.com/au/,0
http://www.netflix.com/login,0
http://www.netflix.com/youraccount,0
http://www.netflix.net,0
http://www.netflix.net/,0
http://www.netflix.net/au/,0
http://www.netflix.net/login,0
http://www.netflix.net/redeem,0
http://www.netflix.net/youraccount,0
https://www.help.netflix.com,0
https://www.media.netflix.com/,0
https://www.netflix.com,0
https://www.netflix.com/au/,0
chrome.google.com/extensions,0
chrome.google.com/webstore/detail/nolijncfnkgaikbjbdaogikpmpbdcdef,0
code.google.com/android/,0
code.google.com/chromium/,0
code.google.com/edu/submissions/waterloo-concurrent/index.html,0
code.google.com/intl/fr/apis/gdata/articles/gdata_on_rails.html,0
code.google.com/p/amop/,0
code.google.com/p/apsw/,0
code.google.com/p/canopy-httpd/,0
code.google.com/p/compcache/,0
code.google.com/p/cryptsetup/,0
code.google.com/p/dcsharp/,0
code.google.com/p/epic-win32/,0
code.google.com/p/evennia/,0
code.google.com/p/f90tohtml/,0
code.google.com/p/fanntool/,0
code.google.com/p/favloc/,0
code.google.com/p/ffl/,0
code.google.com/p/foraytool/,0
code.google.com/p/foxreplace/,0
code.google.com/p/fuel-scm/,0
code.google.com/p/git-osx-installer/,0
code.google.com/p/goobook/,0
code.google.com/p/google-gson/,0
code.google.com/p/gpsee/,0
code.google.com/p/groovymud/,0
code.google.com/p/hiberlite/,0
code.google.com/p/httpfox/,0
code.google.com/p/inferno-ds/,0
code.google.com/p/iphonebrowser/,0
code.google.com/p/j4me/,0
code.google.com/p/javapng/,0
code.google.com/p/javascript-joystick/,0
code.google.com/p/jfxtras/,0
code.google.com/p/jkeylockmanager/,0
code.google.com/p/jsdoc-toolkit/,0
code.google.com/p/jslibs/,0
code.google.com/p/jswat/,0
code.google.com/p/jurassic-fossil/,0
code.google.com/p/kippo/,0
code.google.com/p/legstar-pli2cob/,0
code.google.com/p/linb/,0
code.google.com/p/modwsgi/,0
code.google.com/p/moq/,0
code.google.com/p/msysgit/,0
code.google.com/p/oktech-profiler/,0
code.google.com/p/os2online/,0
code.google.com/p/pastelog/,0
code.google.com/p/phpobfuskator/,0
code.google.com/p/phpsimpl/,0
code.google.com/p/php-syslog-ng/,0
code.google.com/p/plan9front/,0
code.google.com/p/pysqlite/,0
