seedurl,craftedurl,adversarytype,adversarymethod,price
https://www.ozbargain.com.au ,http://www.bargainozbargain.com.au/ozbargain,path_dm,Path_Adversary,
https://www.ozbargain.com.au ,http://www.ozbargainbargain.com.au/ozbargain,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.comamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazon.com.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazoneamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazone.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.amazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amzonamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamzon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon-amazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.co.ukamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazon.co.uk.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.ebayamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonebay.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.caamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazon.ca.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.alibrisamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonalibris.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonsamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazons.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.com.amazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazoncomamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazoncom.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.inamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonamazon.in.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.kindleamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonkindle.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.fictionwiseamazon.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazonfictionwise.co.jp/amazon,path_dm,Path_Adversary,
https://www.amazon.co.jp,http://www.amazon.itamazon.co.jp/amazon,path_dm,Path_Adversary,
