seedurl,craftedurl,adversarytype,adversarymethod
https://www.ozbargain.com.au ,http://www.ozbargain.com.ng,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.fr,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.co.ma,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.mx,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.pk,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.su,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.fi,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.dk,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.nl,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.pt,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.hu,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.cl,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.co.za,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ps,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.or.kr,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.uy,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.by,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.kiev.ua,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ch,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ad,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.tr,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.in.rs,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.lv,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.xyz,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.vic.edu.au,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.mn,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.org.uk,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ge,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.ar,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.org.ar,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ca,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.asia,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.org.nz,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.bt,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.sg,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.web.id,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.edu.kh,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.edu.cn,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.cx,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.tf,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ph,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.cn,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.com.do,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.biz,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.tk,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.edu,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.so,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.sk,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.edu.au,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.gov.tr,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.us,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.net.cn,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.lowicz.pl,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.gov.sa,TLD_Adversary,tld_mal
https://www.ozbargain.com.au ,http://www.ozbargain.ie,TLD_Adversary,tld_mal
